category.name,location.city,location.state,professional.available,professional.experience,professional.rating,professional.status,professional.status_updated_at,user.active,user.created_at,user.email,user.mobile,user.name
Carpentry Services,Kolkata,West Bengal,True,4.0,1.12,verified,2025-03-26 22:30:58.111021,True,2025-03-26 00:57:59.416967,admin@email.com,9876543210,Admin
Laundry & Dry Cleaning,Patna,Bihar,False,6.0,2.33,rejected,2025-03-26 22:31:22.751611,True,2025-03-26 00:57:59.519009,nidhisagar@example.org,9206001412,Jackson Setty
Painting Services,Tawang,Arunachal Pradesh,False,8.0,1.25,verified,2025-03-26 22:43:04.126798,True,2025-03-26 00:57:59.619958,warjasdyal@example.net,1212121234,Anvi Parikh
Pest Control Services,Jodhpur,Rajasthan,False,8.0,2.73,rejected,2025-03-26 22:43:10.308834,True,2025-03-26 00:57:59.720141,takhamsini@example.org,9836672857,Dipta Din
Carpentry Services,Dehradun,Uttarakhand,True,4.0,1.49,verified,2025-03-27 02:02:55.346621,True,2025-03-26 00:57:59.821031,aadi32@example.net,9388670362,Vrinda Nayar
Driver Services,Jaipur,Rajasthan,True,9.0,2.32,rejected,2025-03-27 02:03:07.663799,True,2025-03-26 00:57:59.921703,chandreshgade@example.net,9628319815,Divya Dass
Gardening & Landscaping,Karimnagar,Telangana,True,5.0,3.53,pending,,True,2025-03-26 00:58:00.022152,joshua61@example.org,9732555547,Azaan Sachdeva
Pest Control Services,Bhilai,Chhattisgarh,False,10.0,0.34,pending,,True,2025-03-26 00:58:00.122333,nathaniel43@example.org,9471312000,Fariq Sharaf
Home Security Services,Tirupati,Andhra Pradesh,False,4.0,2.52,pending,,True,2025-03-26 00:58:00.222494,ikbal26@example.net,9130941912,Qabil Mutti
Home Shifting & Moving,Cherrapunji,Meghalaya,True,8.0,4.84,pending,,True,2025-03-26 00:58:00.323517,atwalwidisha@example.com,9700969215,Chameli Barman
Driver Services,Siliguri,West Bengal,True,4.0,3.44,pending,,True,2025-03-26 00:58:00.423399,bhandaridarsh@example.com,9469959085,Eiravati Mangat
Driver Services,Thrissur,Kerala,True,7.0,1.44,pending,,True,2025-03-26 00:58:00.523369,csharaf@example.net,9420668490,Tanmayi Mohan
Event Services,Lucknow,Uttar Pradesh,True,8.0,0.4,pending,,True,2025-03-26 00:58:00.624104,radha70@example.com,9891807528,Girish Biswas
Home Shifting & Moving,Durgapur,West Bengal,True,1.0,3.1,pending,,True,2025-03-26 00:58:00.725187,nagyladli@example.org,9211743190,Widisha Naik
Electrical Services,Hisar,Haryana,True,7.0,4.84,pending,,True,2025-03-26 00:58:00.826431,sankararjun@example.org,9183404333,Vedika Sabharwal
Tutoring & Coaching,Rangpo,Sikkim,False,4.0,4.27,pending,,True,2025-03-26 00:58:00.927074,baljiwannarasimhan@example.org,9666541849,Abhimanyu Vyas
Laundry & Dry Cleaning,Nainital,Uttarakhand,True,5.0,4.36,pending,,True,2025-03-26 00:58:01.027374,banjeetyogi@example.org,9971475933,Libni Dalal
Plumbing Services,Gyalshing,Sikkim,True,5.0,4.3,pending,,True,2025-03-26 00:58:01.127343,vihaanshenoy@example.org,9640353326,Barkha Rao
Event Services,Nizamabad,Telangana,True,2.0,2.91,pending,,True,2025-03-26 00:58:01.227612,samuelmall@example.com,9804872878,Kabir Raghavan
Beauty & Wellness,Agra,Uttar Pradesh,True,1.0,2.24,pending,,True,2025-03-26 00:58:01.327152,eratta@example.org,9685107499,Manbir Sarma
Gardening & Landscaping,Tezpur,Assam,False,4.0,4.44,pending,,True,2025-03-26 00:58:01.428319,hredhaan60@example.net,9235840119,Aarini Dutt
Pest Control Services,Kollam,Kerala,True,6.0,2.94,pending,,True,2025-03-26 00:58:01.527777,bbhasin@example.org,9664877266,Forum Khurana
Home Security Services,Nongstoin,Meghalaya,True,7.0,2.7,pending,,True,2025-03-26 00:58:01.627216,omya25@example.com,9523399804,Laban Bajaj
Excepturi ut est mo,Kohima,Nagaland,False,10.0,1.19,pending,,True,2025-03-26 00:58:01.727310,wadhwadivya@example.com,9613290958,Zilmil Bhardwaj
Carpentry Services,Gangtok,Sikkim,True,7.0,3.82,pending,,True,2025-03-26 00:58:01.827606,balanjeet@example.net,9923713209,Pushti Narasimhan
Cooking & Meal Prep,Nellore,Andhra Pradesh,False,8.0,2.15,pending,,True,2025-03-26 00:58:01.927821,esawhney@example.net,9839928157,Xavier Ramesh
Home Shifting & Moving,Kohima,Nagaland,True,2.0,1.61,pending,,True,2025-03-26 00:58:02.028072,lukekade@example.net,9202242854,Thomas Hans
Laundry & Dry Cleaning,Tiruchirapalli,Tamil Nadu,False,3.0,1.68,pending,,True,2025-03-26 00:58:02.127990,vincentoommen@example.org,9610904496,Urvi Memon
Carpentry Services,Mapusa,Goa,True,6.0,1.23,pending,,True,2025-03-26 00:58:02.227812,memonbhanumati@example.org,9935982062,Fariq Jayaraman
Cleaning Services,Mandi,Himachal Pradesh,False,10.0,1.26,pending,,True,2025-03-26 00:58:02.327416,mandanachiket@example.com,9542048482,Anita Bandi
Gardening & Landscaping,Ramagundam,Telangana,False,8.0,2.93,pending,,True,2025-03-26 00:58:02.427984,imaran35@example.com,9958794224,Max Venkataraman
Driver Services,Muzaffarpur,Bihar,False,9.0,0.94,pending,,True,2025-03-26 00:58:02.528119,pradhanjonathan@example.org,9342063048,Irya Dugar
Elder Care,Thrissur,Kerala,False,8.0,3.1,pending,,True,2025-03-26 00:58:02.627443,sethiridhi@example.com,9261531536,Ikshita Guha
Pest Control Services,Bhopal,Madhya Pradesh,False,1.0,2.7,pending,,True,2025-03-26 00:58:02.727108,xaviermody@example.org,9582142076,Faqid Mandal
Electrical Services,Dimapur,Nagaland,True,4.0,1.22,pending,,True,2025-03-26 00:58:02.826879,yashkaur@example.net,9506988377,Orinder Das
Electrical Services,Papum Pare,Arunachal Pradesh,True,6.0,4.82,pending,,True,2025-03-26 00:58:02.926586,joshuabarad@example.net,9204709219,Radha Raju
Handyman Services,Mumbai,Maharashtra,False,3.0,1.5,pending,,True,2025-03-26 00:58:03.026164,kabirbajwa@example.net,9505129895,Ekapad Brahmbhatt
Gardening & Landscaping,Mysuru,Karnataka,False,2.0,0.49,pending,,True,2025-03-26 00:58:03.126104,ldas@example.com,9292804741,Yashoda Mitter
Elder Care,Belagavi,Karnataka,True,3.0,3.13,pending,,True,2025-03-26 00:58:03.244700,deshpandefalak@example.com,9147996922,Leela Dada
Gardening & Landscaping,Salem,Tamil Nadu,True,4.0,2.73,pending,,True,2025-03-26 00:58:03.352375,xiti85@example.org,9568146228,Sudiksha Minhas
Event Services,Nashik,Maharashtra,False,10.0,1.66,pending,,True,2025-03-26 00:58:03.455030,sandalchaitaly@example.net,9563880637,Triya Ramanathan
Pest Control Services,Manali,Himachal Pradesh,False,3.0,4.82,pending,,True,2025-03-26 00:58:03.559642,gbajwa@example.com,9960876858,Oscar Virk
Electrical Services,Porvorim,Goa,False,2.0,1.3,pending,,True,2025-03-26 00:58:03.660993,rastogiyadavi@example.net,9432993496,Onkar Narain
Home Automation,Jamshedpur,Jharkhand,True,7.0,2.98,pending,,True,2025-03-26 00:58:03.760246,senguptalopa@example.com,9130160307,Ati Rao
Beauty & Wellness,Thrissur,Kerala,True,6.0,1.15,pending,,True,2025-03-26 00:58:03.859323,pranav97@example.org,9107123212,Sneha Raman
Tutoring & Coaching,Hyderabad,Telangana,True,6.0,1.45,pending,,True,2025-03-26 00:58:03.958040,pchatterjee@example.org,9475958092,Naveen Mohanty
Beauty & Wellness,Bengaluru,Karnataka,False,7.0,3.8,pending,,True,2025-03-26 00:58:04.058791,kram@example.com,9436347059,Tanay Walia
Carpentry Services,Lunglei,Mizoram,True,8.0,2.61,pending,,True,2025-03-26 00:58:04.157663,bhavinichahal@example.com,9617205201,Lila Sastry
Driver Services,Chennai,Tamil Nadu,True,10.0,1.27,pending,,True,2025-03-26 00:58:04.260400,tsolanki@example.com,9607008320,Wyatt Chaudhry
Carpentry Services,Porvorim,Goa,True,1.0,2.29,pending,,True,2025-03-26 00:58:04.361647,priyabora@example.net,9847023631,Lakshmi Khanna
Electrical Services,Dehradun,Uttarakhand,True,9.0,0.84,pending,,True,2025-03-26 00:58:04.461350,wahab40@example.net,9976156060,Garima Bajaj
Cleaning Services,Agra,Uttar Pradesh,True,5.0,3.6,pending,,True,2025-03-26 00:58:04.560912,dbhatti@example.org,9462986856,Warhi Pandit
Fitness & Yoga,Kohima,Nagaland,True,4.0,1.4,pending,,False,2025-03-26 00:58:04.660010,irya87@example.org,9132155378,Dayamai Zachariah
Painting Services,Indore,Madhya Pradesh,True,5.0,4.48,pending,,False,2025-03-26 00:58:04.758695,mohiniarora@example.org,9535168434,Viraj Chana
Elder Care,Brahmapur,Odisha,False,9.0,4.46,pending,,False,2025-03-26 00:58:04.858814,krama@example.net,9349896551,Omkaar Saran
Handyman Services,Silchar,Assam,False,5.0,0.73,pending,,False,2025-03-26 00:58:04.958132,jacob38@example.org,9740869576,Kritika Dasgupta
Event Services,Gandhinagar,Gujarat,False,3.0,4.39,pending,,False,2025-03-26 00:58:05.059632,deeprudra@example.net,9859395844,Yadavi Tripathi
Pest Control Services,Kolasib,Mizoram,False,8.0,1.5,pending,,False,2025-03-26 00:58:05.159120,yutikaissac@example.net,9526987725,Yash Nagi
Driver Services,Kollam,Kerala,True,10.0,3.4,pending,,False,2025-03-26 00:58:05.263140,saksham10@example.net,9548080958,Yutika Swaminathan
Laundry & Dry Cleaning,Bokaro,Jharkhand,True,5.0,0.77,pending,,False,2025-03-26 00:58:05.362589,hbhattacharyya@example.net,9430586070,Parth Verma
Painting Services,Ranchi,Jharkhand,True,2.0,0.56,pending,,False,2025-03-26 00:58:05.461817,warhi12@example.net,9438043791,Frado Andra
Fitness & Yoga,Durg,Chhattisgarh,True,2.0,1.61,pending,,False,2025-03-26 00:58:05.565621,kotapanini@example.com,9404820057,Pratyush Pathak
Painting Services,Gwalior,Madhya Pradesh,True,5.0,0.87,pending,,False,2025-03-26 00:58:05.665546,amaradas@example.org,9690521403,Azad Oommen
Home Automation,Papum Pare,Arunachal Pradesh,True,1.0,4.76,pending,,False,2025-03-26 00:58:05.764577,jai71@example.com,9263716490,Lekha Balan
Elder Care,Ambassa,Tripura,True,4.0,2.98,pending,,False,2025-03-26 00:58:05.876721,ysachdev@example.com,9629644786,Jai Narasimhan
Cooking & Meal Prep,Vijayawada,Andhra Pradesh,True,5.0,2.42,pending,,False,2025-03-26 00:58:05.982288,ridhijha@example.org,9591251776,Urmi Brar
